name,level,move,type,power,accuracy,pp,category,effect,effect_prob,gen,stat_change,amount_changed
bulbasaur,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
bulbasaur,1,growl,normal,0,100,40,status,Lowers the target's Attack by one stage.,100,1,attack,-1
bulbasaur,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
bulbasaur,7,leech-seed,grass,0,90,10,status,"Seeds the target, stealing HP from it every turn.",100,1,N/A,0
bulbasaur,13,vine-whip,grass,45,100,10,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
bulbasaur,20,poison-powder,poison,0,75,35,status,Poisons the target.,100,1,N/A,0
bulbasaur,27,razor-leaf,grass,55,95,25,physical,Has an increased chance for a critical hit.,100,1,N/A,0
bulbasaur,34,growth,normal,0,_,20,status,Raises the user's Attack and Special Attack by one stage.,100,1,attack,1
bulbasaur,41,sleep-powder,grass,0,75,15,status,Puts the target to sleep.,100,1,N/A,0
bulbasaur,48,solar-beam,grass,120,100,10,special,Requires a turn to charge before attacking.,100,1,N/A,0
charmander,1,scratch,normal,40,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
charmander,1,growl,normal,0,100,40,status,Lowers the target's Attack by one stage.,100,1,attack,-1
charmander,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
charmander,9,ember,fire,40,100,25,special,Has a 10% chance to burn the target.,10,1,N/A,0
charmander,15,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
charmander,22,rage,normal,20,100,20,physical,"If the user is hit after using this move, its Attack rises by one stage.",100,1,N/A,0
charmander,30,slash,normal,70,100,20,physical,Has an increased chance for a critical hit.,100,1,N/A,0
charmander,38,flamethrower,fire,95,100,15,special,Has a 10% chance to burn the target.,10,1,N/A,0
charmander,46,fire-spin,fire,15,70,15,special,Prevents the target from fleeing and inflicts damage for 2-5 turns.,100,1,N/A,0
squirtle,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
squirtle,1,tail-whip,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
squirtle,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
squirtle,8,bubble,water,20,100,30,special,Has a 10% chance to lower the target's Speed by one stage.,10,1,speed,-1
squirtle,15,water-gun,water,40,100,25,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
squirtle,22,bite,normal,60,100,25,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
squirtle,28,withdraw,water,0,_,40,status,Raises the user's Defense by one stage.,100,1,defense,1
squirtle,35,skull-bash,normal,100,100,15,physical,Raises the user's Defense by one stage.  User charges for one turn before attacking.,100,1,N/A,0
squirtle,42,hydro-pump,water,120,80,5,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
caterpie,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
caterpie,1,string-shot,bug,0,95,40,status,Lowers the target's Speed by two stages.,100,1,speed,-2
caterpie,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
weedle,1,poison-sting,poison,15,100,35,physical,Has a 30% chance to poison the target.,30,1,N/A,0
weedle,1,string-shot,bug,0,95,40,status,Lowers the target's Speed by two stages.,100,1,speed,-2
weedle,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
pidgey,1,gust,normal,40,100,35,special,Inflicts regular damage and can hit Pokémon in the air.,100,1,N/A,0
pidgey,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
pidgey,5,sand-attack,normal,0,100,15,status,Lowers the target's accuracy by one stage.,100,1,accuracy,-1
pidgey,12,quick-attack,normal,40,100,30,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
pidgey,19,whirlwind,normal,0,85,20,status,Immediately ends wild battles.  Forces trainers to switch Pokémon.,100,1,N/A,0
pidgey,28,wing-attack,flying,35,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
pidgey,36,agility,psychic,0,_,30,status,Raises the user's Speed by two stages.,100,1,speed,2
pidgey,44,mirror-move,flying,0,_,20,status,Uses the target's last used move.,100,1,N/A,0
rattata,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
rattata,1,tail-whip,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
rattata,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
rattata,7,quick-attack,normal,40,100,30,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
rattata,14,hyper-fang,normal,80,90,15,physical,Has a 10% chance to make the target flinch.,10,1,N/A,0
