caterpie,magmar,pidgey,alakazam,tangela,jynx
tangela,blastoise,geodude,bulbasaur,zubat,horsea
pidgeotto,electrode,kabuto,golduck,muk,lickitung
scyther,abra,nidoking,electrode,golduck,rapidash
kakuna,pinsir,aerodactyl,haunter,dewgong,nidoqueen
shellder,kabutops,machop,nidoran-m,growlithe,vulpix
sandslash,rattata,gengar,rapidash,mew,onix
kabuto,graveler,omanyte,pidgey,rattata,seaking
tentacool,muk,kabuto,moltres,flareon,nidoran-f
nidoking,hypno,vileplume,vaporeon,charmeleon,tentacool
muk,muk,dugtrio,koffing,clefairy,marowak
pidgey,muk,articuno,jolteon,seel,mew
butterfree,chansey,weedle,abra,slowbro,koffing
oddish,growlithe,krabby,dugtrio,paras,magikarp
dratini,arbok,charmander,nidorina,pidgeotto,dodrio
farfetch'd,chansey,beedrill,meowth,slowbro,pidgeot
psyduck,rhyhorn,pidgeot,magneton,golbat,cloyster
weedle,nidoqueen,moltres,zapdos,magikarp,exeggcute
electabuzz,ekans,hypno,machoke,machamp,drowzee
voltorb,farfetch'd,abra,rapidash,lickitung,venomoth
goldeen,horsea,butterfree,mewtwo,drowzee,geodude
exeggcute,cloyster,tentacool,porygon,tentacruel,weezing
nidoqueen,jynx,kakuna,charmeleon,onix,nidoran-f
wigglytuff,gastly,cubone,caterpie,wartortle,mew
nidorino,charmander,caterpie,starmie,seadra,graveler
nidoqueen,omanyte,venusaur,horsea,aerodactyl,vaporeon
dodrio,oddish,parasect,onix,dewgong,starmie
paras,rattata,vileplume,gyarados,kadabra,lickitung
rattata,doduo,cubone,articuno,mankey,jolteon
vileplume,caterpie,dugtrio,bulbasaur,vileplume,bellsprout
beedrill,goldeen,eevee,jolteon,oddish,vileplume
chansey,jigglypuff,dragonite,omanyte,zubat,zapdos
golem,arcanine,wigglytuff,diglett,tauros,kabuto
hitmonchan,slowbro,fearow,poliwhirl,arcanine,aerodactyl
marowak,charmander,moltres,meowth,dragonite,charizard
koffing,zapdos,eevee,mew,raticate,seel
clefable,starmie,clefable,chansey,butterfree,golbat
golduck,raticate,golbat,omastar,vulpix,bulbasaur
abra,seel,nidorino,marowak,kakuna,electabuzz
nidorino,cubone,spearow,shellder,electabuzz,bulbasaur
hypno,raichu,kadabra,poliwag,venusaur,nidoqueen
pidgeot,poliwag,dewgong,nidorina,hitmonchan,haunter
raticate,magikarp,flareon,grimer,growlithe,venusaur
arcanine,omastar,slowbro,weepinbell,zapdos,charizard
mr. mime,kadabra,doduo,golem,mr. mime,flareon
hitmonlee,jigglypuff,rhyhorn,venomoth,weezing,alakazam
caterpie,sandslash,persian,cloyster,growlithe,tangela
hitmonchan,arbok,dragonair,venomoth,ponyta,golem
gengar,nidoqueen,nidoran-m,exeggcute,mewtwo,paras
dodrio,dragonite,nidoking,lapras,krabby,weedle
farfetch'd,machoke,ninetales,primeape,grimer,pinsir
mankey,krabby,graveler,pidgey,magnemite,jigglypuff
goldeen,diglett,lapras,victreebel,vaporeon,nidorina
raticate,raichu,pidgey,voltorb,farfetch'd,golbat
cloyster,sandshrew,blastoise,tentacool,grimer,beedrill
clefable,rhydon,rhydon,abra,machamp,beedrill
growlithe,koffing,clefairy,dugtrio,beedrill,starmie
magneton,metapod,poliwrath,arbok,gyarados,nidoran-f
arcanine,metapod,butterfree,gyarados,staryu,kabuto
parasect,graveler,jolteon,kadabra,poliwhirl,charmander
dugtrio,poliwag,mewtwo,zapdos,cubone,dratini
poliwrath,scyther,mewtwo,pinsir,doduo,tentacool
zapdos,kingler,shellder,zapdos,farfetch'd,dragonair
kangaskhan,hypno,dugtrio,porygon,goldeen,muk
magnemite,seaking,onix,gyarados,gastly,lapras
poliwhirl,aerodactyl,rapidash,raichu,jolteon,cubone
rhydon,magneton,victreebel,mr. mime,lickitung,venusaur
graveler,primeape,arcanine,zapdos,pinsir,zubat
drowzee,charmeleon,arcanine,magikarp,seadra,weezing
sandshrew,magneton,vaporeon,ivysaur,kabutops,dewgong
horsea,bulbasaur,bulbasaur,arcanine,sandshrew,raticate
vaporeon,nidorina,ivysaur,poliwrath,jolteon,seel
grimer,gastly,kangaskhan,charmander,electrode,jolteon
kingler,gastly,golduck,porygon,tentacruel,metapod
hitmonlee,dodrio,eevee,flareon,tentacruel,venomoth
muk,mr. mime,fearow,rhyhorn,dratini,raticate
primeape,venonat,clefairy,voltorb,pidgeot,hypno
hypno,rhydon,dratini,magmar,bellsprout,lapras
pidgey,krabby,hitmonchan,meowth,weepinbell,nidoran-f
magneton,mankey,jolteon,pidgeotto,tauros,spearow
charmander,ponyta,machop,farfetch'd,arbok,pikachu
golduck,horsea,fearow,dragonair,drowzee,golduck
charmander,rhydon,kingler,beedrill,tentacool,ekans
chansey,krabby,venonat,parasect,kingler,vaporeon
snorlax,ponyta,pidgeotto,spearow,caterpie,primeape
kingler,squirtle,machamp,psyduck,kakuna,jynx
metapod,poliwhirl,tauros,pinsir,nidoking,magikarp
primeape,rhyhorn,machoke,exeggutor,charizard,moltres
ivysaur,aerodactyl,wartortle,sandshrew,metapod,starmie
caterpie,kingler,ekans,cloyster,tentacruel,machamp
zubat,venusaur,koffing,arbok,magmar,machop
primeape,vulpix,grimer,eevee,slowpoke,voltorb
poliwag,nidoqueen,cubone,charmeleon,ninetales,rhyhorn
machoke,poliwag,clefable,machoke,bulbasaur,flareon
scyther,oddish,wartortle,dodrio,weedle,magnemite
exeggutor,electrode,machop,ninetales,tentacruel,nidoqueen
wigglytuff,weepinbell,hypno,pikachu,wartortle,doduo
golbat,raticate,staryu,pidgey,seadra,exeggcute
machoke,snorlax,ninetales,doduo,raticate,kadabra
slowbro,drowzee,goldeen,jynx,growlithe,clefable
onix,voltorb,machoke,dratini,charmeleon,tauros
kadabra,kabutops,cloyster,arcanine,articuno,jigglypuff
rattata,wigglytuff,charmander,nidoking,mankey,zapdos
mankey,geodude,vulpix,nidorino,staryu,charmander
weedle,hypno,rhyhorn,diglett,growlithe,venomoth
goldeen,jigglypuff,seaking,poliwhirl,krabby,electrode
machoke,blastoise,horsea,rapidash,cubone,fearow
primeape,nidoran-m,wigglytuff,oddish,seadra,nidoking
beedrill,ponyta,magneton,caterpie,electabuzz,clefairy
seel,omanyte,nidorina,weedle,charizard,cubone
tentacruel,kangaskhan,ninetales,ninetales,golbat,vulpix
squirtle,fearow,diglett,machop,jolteon,poliwag
lapras,krabby,kangaskhan,parasect,vulpix,lapras
marowak,vulpix,raticate,venusaur,horsea,psyduck
flareon,growlithe,haunter,abra,vileplume,golduck
arbok,jolteon,omastar,seadra,mewtwo,nidorina
growlithe,zapdos,kabutops,electrode,dragonair,seaking
venomoth,raticate,bellsprout,electrode,omanyte,aerodactyl
mewtwo,rhydon,magneton,hitmonlee,oddish,persian
bellsprout,exeggcute,mr. mime,eevee,dewgong,meowth
psyduck,tentacool,gyarados,beedrill,paras,pinsir
seadra,seaking,golduck,ninetales,charmander,spearow
metapod,abra,voltorb,golduck,raticate,lapras
dragonair,geodude,voltorb,seadra,ivysaur,gengar
beedrill,snorlax,blastoise,muk,eevee,omanyte
golem,nidoqueen,parasect,slowbro,victreebel,snorlax
flareon,kabutops,mew,exeggcute,scyther,flareon
poliwag,kabutops,oddish,golbat,nidoran-f,drowzee
articuno,ivysaur,slowpoke,vaporeon,beedrill,horsea
vulpix,cloyster,dragonair,nidorino,nidoqueen,dratini
ninetales,raichu,gengar,squirtle,spearow,clefairy
jynx,rhydon,golbat,kabutops,slowbro,nidoran-m
growlithe,flareon,arbok,caterpie,farfetch'd,pikachu
marowak,gastly,cloyster,muk,nidoking,scyther
blastoise,golem,cloyster,fearow,vileplume,aerodactyl
gastly,gastly,squirtle,seaking,hitmonlee,dodrio
dodrio,starmie,geodude,hitmonchan,clefairy,lickitung
aerodactyl,porygon,kakuna,scyther,arcanine,flareon
electrode,nidoqueen,seadra,ponyta,machoke,sandshrew
tangela,jigglypuff,weedle,machoke,bulbasaur,koffing
articuno,pinsir,eevee,meowth,jigglypuff,mr. mime
pikachu,electabuzz,kabutops,lickitung,shellder,koffing
mankey,pidgey,golbat,blastoise,machoke,vaporeon
wigglytuff,spearow,goldeen,gastly,zapdos,haunter
zubat,persian,magikarp,persian,dugtrio,exeggutor
sandshrew,spearow,nidoqueen,vileplume,rhydon,aerodactyl
ivysaur,bellsprout,seadra,seel,farfetch'd,weezing
charmander,gyarados,vaporeon,oddish,pikachu,sandshrew
pidgeotto,vulpix,mewtwo,scyther,clefairy,pidgey
vulpix,omastar,farfetch'd,magnemite,oddish,bulbasaur
nidoqueen,machoke,seel,electrode,ivysaur,flareon
muk,growlithe,weezing,wigglytuff,dodrio,venusaur
primeape,beedrill,ninetales,magmar,rapidash,rattata
diglett,mr. mime,ekans,poliwag,diglett,spearow
gastly,venomoth,rhydon,charmeleon,growlithe,gastly
ekans,kingler,electrode,zubat,pikachu,lickitung
marowak,pidgeotto,victreebel,chansey,charmander,machoke
machop,poliwhirl,omanyte,omanyte,golem,doduo
charmander,venonat,diglett,meowth,charmander,ditto
raichu,pinsir,sandslash,ninetales,scyther,ninetales
kingler,kakuna,parasect,bellsprout,dragonair,krabby
nidoran-f,pidgey,kabuto,nidorina,gastly,weepinbell
golduck,electrode,mr. mime,kadabra,beedrill,ponyta
alakazam,bellsprout,zubat,omastar,meowth,parasect
blastoise,jolteon,rhyhorn,gyarados,ninetales,muk
tentacruel,mr. mime,caterpie,marowak,vileplume,cubone
snorlax,slowpoke,scyther,weedle,cubone,lapras
metapod,aerodactyl,wigglytuff,eevee,raichu,bulbasaur
doduo,charmander,dodrio,poliwrath,seaking,arbok
diglett,tauros,growlithe,omanyte,nidoking,jolteon
nidorino,clefairy,venusaur,fearow,cubone,nidoran-f
wigglytuff,nidoking,gengar,rattata,mewtwo,golem
gyarados,dugtrio,charizard,golem,geodude,gengar
caterpie,butterfree,charmander,kangaskhan,chansey,dragonair
charmander,alakazam,bellsprout,raticate,jolteon,venonat
jigglypuff,caterpie,gloom,snorlax,onix,eevee
arbok,ponyta,oddish,nidorino,slowbro,slowbro
jigglypuff,mr. mime,kingler,machamp,kakuna,kangaskhan
poliwag,gastly,venonat,kakuna,kabuto,ponyta
electabuzz,horsea,jolteon,seaking,dugtrio,omanyte
diglett,lickitung,raticate,magikarp,spearow,nidoran-f
arcanine,tentacool,bellsprout,chansey,farfetch'd,mew
tentacool,raichu,magnemite,wigglytuff,fearow,mr. mime
geodude,rhydon,jigglypuff,nidorina,magnemite,magnemite
persian,abra,mewtwo,nidoking,rhydon,jolteon
ekans,growlithe,ivysaur,staryu,machop,voltorb
rattata,nidoran-f,omanyte,scyther,mankey,paras
diglett,nidorino,slowpoke,weepinbell,mr. mime,porygon
magnemite,nidorino,nidorina,exeggutor,golem,doduo
gloom,persian,venomoth,chansey,pidgeotto,psyduck
rattata,doduo,mr. mime,metapod,raticate,pinsir
zapdos,zapdos,staryu,moltres,scyther,dewgong
dratini,golbat,scyther,magikarp,goldeen,sandslash
ivysaur,dragonair,golem,nidorino,mew,weezing
porygon,hypno,rhydon,hitmonlee,abra,kingler
victreebel,nidoran-f,squirtle,wartortle,psyduck,kabuto
kakuna,tauros,hitmonlee,dodrio,kadabra,vaporeon
snorlax,kadabra,golduck,rhyhorn,meowth,staryu
raichu,seaking,rhyhorn,electabuzz,kadabra,wartortle
electabuzz,blastoise,mew,dratini,ditto,weepinbell
gyarados,snorlax,ivysaur,nidoqueen,tauros,diglett
aerodactyl,kabutops,tauros,magnemite,spearow,nidoking
hypno,doduo,zubat,omastar,seaking,psyduck
farfetch'd,pidgey,weedle,kadabra,seel,hitmonchan
jigglypuff,charmeleon,electabuzz,parasect,dratini,meowth
wartortle,pikachu,tentacool,arbok,pikachu,pidgeotto
lickitung,geodude,starmie,tentacool,grimer,golduck
dratini,tentacruel,machop,paras,shellder,paras
pidgeot,clefairy,psyduck,kakuna,charizard,hypno
dragonite,voltorb,weezing,pinsir,pidgeotto,articuno
