,Team,Efficiency: (Wins/avg_Time),base_total,hp,speed,attack,defense,sp_attack,sp_defense,Wins,Avg Time Win,SD Time Win,Avg Time Loss,SD Time Loss,Losses to Lorelei,Losses to Bruno,Losses to Agatha,Losses to Lance,Nemesis,Nemesis Losses
275,"['machop', 'raticate', 'gengar', 'articuno', 'persian', 'haunter']",3.076308429884139,287.0,77.0,43.0,41.0,41.0,43.0,42.0,77,25.03,3.05,16.78,4.08,4,0,18,1,gengar,43
851,"['gengar', 'electrode', 'aerodactyl', 'clefable', 'charmander', 'hypno']",2.388323750552853,287.0,81.0,41.0,42.0,41.0,41.0,41.0,54,22.61,4.66,18.07,5.2,3,1,39,3,gengar,32
134,"['gengar', 'poliwhirl', 'pinsir', 'magmar', 'ditto', 'aerodactyl']",2.1258503401360547,294.0,78.0,47.0,43.0,41.0,43.0,42.0,50,23.52,4.04,18.63,5.4,0,0,42,8,haunter,32
548,"['gengar', 'nidoqueen', 'nidoran-m', 'exeggcute', 'mewtwo', 'paras']",2.051739518287244,293.0,77.0,42.0,42.0,43.0,46.0,43.0,46,22.42,4.06,15.87,5.95,11,1,31,11,gengar,28
520,"['gyarados', 'dugtrio', 'charizard', 'golem', 'geodude', 'gengar']",1.926936973103172,279.0,77.0,40.0,40.0,42.0,40.0,40.0,48,24.91,3.19,17.52,3.66,3,0,48,1,gengar2,32
880,"['abra', 'nidoking', 'zapdos', 'victreebel', 'haunter', 'goldeen']",1.8678815489749432,285.0,77.0,41.0,45.0,41.0,41.0,40.0,41,21.95,2.58,16.9,3.99,4,0,52,3,gengar,35
446,"['pinsir', 'gengar', 'tentacruel', 'parasect', 'sandshrew', 'caterpie']",1.818969250757904,268.0,75.0,39.0,40.0,40.0,37.0,37.0,42,23.09,2.96,16.13,5.33,20,3,24,11,gengar,33
147,"['tentacruel', 'gengar', 'cloyster', 'golem', 'exeggcute', 'moltres']",1.7811704834605595,283.0,77.0,40.0,41.0,42.0,42.0,41.0,49,27.51,4.33,20.64,5.0,11,0,39,1,gengar,31
356,"['blastoise', 'gengar', 'lickitung', 'paras', 'jolteon', 'charizard']",1.769578313253012,275.0,75.0,42.0,39.0,39.0,40.0,40.0,47,26.56,4.86,19.72,5.82,7,1,37,8,gengar,38
52,"['nidoqueen', 'onix', 'gengar', 'koffing', 'weepinbell', 'tentacruel']",1.7247987734764278,288.0,76.0,43.0,41.0,40.0,45.0,43.0,45,26.09,3.53,18.97,6.36,16,0,29,10,gengar,37
451,"['kangaskhan', 'exeggcute', 'omanyte', 'gengar', 'articuno', 'electrode']",1.705477205641194,285.0,76.0,43.0,44.0,40.0,40.0,42.0,52,30.49,3.56,22.4,4.85,5,0,43,0,gengar,41
768,"['nidoking', 'exeggutor', 'kakuna', 'gengar', 'ekans', 'wartortle']",1.69548999660902,276.0,75.0,39.0,42.0,43.0,38.0,39.0,50,29.49,4.1,19.66,7.93,20,1,26,3,gengar,46
220,"['aerodactyl', 'mankey', 'nidoqueen', 'gengar', 'parasect', 'kakuna']",1.690916240660637,283.0,77.0,41.0,42.0,41.0,40.0,42.0,43,25.43,2.77,15.65,6.2,28,1,27,1,gengar,38
93,"['ponyta', 'golduck', 'tauros', 'kabutops', 'gengar', 'bulbasaur']",1.665034280117532,295.0,79.0,43.0,45.0,42.0,43.0,43.0,51,30.63,2.66,22.95,6.36,11,1,29,8,gengar,48
842,"['wigglytuff', 'nidoking', 'gengar', 'rattata', 'mewtwo', 'golem']",1.624601102407891,295.0,77.0,43.0,43.0,45.0,43.0,44.0,56,34.47,5.26,23.24,8.97,14,0,28,2,gengar,42
4,"['machamp', 'gengar', 'nidoran-m', 'nidorino', 'mr-mime', 'paras']",1.5843429636533084,293.0,76.0,43.0,45.0,44.0,43.0,42.0,34,21.46,2.69,14.24,5.82,25,4,22,15,gengar,28
928,"['tauros', 'abra', 'haunter', 'magmar', 'golbat', 'nidorino']",1.570867547304534,282.0,76.0,40.0,42.0,41.0,42.0,41.0,44,28.01,3.09,19.77,7.69,17,2,23,14,haunter,27
328,"['sandslash', 'rattata', 'gengar', 'rapidash', 'mew', 'onix']",1.5186028853454825,283.0,79.0,40.0,42.0,42.0,40.0,40.0,40,26.34,3.39,19.07,7.45,18,4,25,13,gengar,31
983,"['kadabra', 'abra', 'kangaskhan', 'gengar', 'charmander', 'sandshrew']",1.4535967200894522,292.0,78.0,41.0,44.0,45.0,44.0,40.0,39,26.83,2.77,17.86,4.6,12,1,48,0,gengar,34
679,"['pikachu', 'slowbro', 'primeape', 'primeape', 'gengar', 'jigglypuff']",1.437371663244353,275.0,76.0,39.0,39.0,42.0,41.0,38.0,49,34.09,4.27,23.7,7.89,19,0,30,2,gengar,46
