,team_num,Team,Efficiency: (Wins/avg_Time),Wins,Avg Time Win,SD Time Win,Avg Time Loss,SD Time Loss,Losses to Lorelei,Losses to Bruno,Losses to Agatha,Losses to Lance,Nemesis,Nemesis Losses
0,81573,"porygon, kingler, haunter, ninetales, slowbro, parasect",0.192,6,31.25,2.77,20.18,7.07,51,6,34,3,lapras,47
1,81901,"growlithe, hitmonchan, pikachu, tentacool, muk, fearow",,0,,,11.26,4.31,89,6,5,0,lapras,49
2,80333,"nidoran-m, charmeleon, jynx, gloom, caterpie, pidgeot",,0,,,11.29,3.73,78,18,4,0,lapras,37
3,89878,"mankey, slowbro, gengar, shellder, nidoran-m, primeape",1.17378545810238,36,30.67,3.38,22.78,7.48,23,0,33,8,gengar,32
4,80494,"nidoran-f, mewtwo, slowpoke, gloom, ivysaur, pidgeot",,0,,,13.06,5.12,75,10,15,0,lapras,40
5,86578,"porygon, pikachu, kabutops, slowpoke, pinsir, dragonair",,0,,,19.05,6.31,43,24,33,0,lapras,32
6,83226,"goldeen, ponyta, voltorb, seel, raticate, poliwag",,0,,,12.64,4.37,100,0,0,0,slowbro,47
7,83581,"kingler, machoke, doduo, growlithe, clefable, electabuzz",,0,,,17.92,7.83,53,19,28,0,lapras,40
8,82814,"bulbasaur, persian, venonat, magneton, ivysaur, pidgeot",,0,,,11.98,4.56,87,8,5,0,lapras,41
9,82466,"mewtwo, paras, zapdos, clefable, parasect, graveler",0.9216589861751152,24,26.04,4.19,20.33,5.75,10,1,63,2,gengar,50
10,87338,"grimer, weepinbell, tangela, golduck, eevee, golem",,0,,,14.21,6.99,85,4,11,0,lapras,56
11,80752,"venomoth, dodrio, poliwrath, dodrio, machoke, squirtle",,0,,,13.99,5.46,82,2,16,0,lapras,52
12,81112,"kakuna, nidoran-f, wartortle, wartortle, spearow, geodude",,0,,,10.35,2.9,100,0,0,0,slowbro,49
13,87759,"starmie, growlithe, gengar, jigglypuff, magnemite, rhydon",1.0996119016817594,34,30.92,4.08,19.32,6.2,30,3,29,4,lapras,27
14,82007,"omastar, bellsprout, starmie, venomoth, rattata, golduck",,0,,,15.54,4.75,78,13,9,0,lapras,45
15,83647,"geodude, bulbasaur, vileplume, cloyster, raticate, gloom",,0,,,14.9,5.99,52,15,33,0,lapras,28
16,86119,"fearow, electrode, pinsir, magnemite, machoke, oddish",,0,,,15.46,6.13,48,14,38,0,lapras,29
17,83696,"clefable, hitmonlee, persian, magmar, poliwag, oddish",,0,,,18.2,9.06,74,5,21,0,jynx,44
18,83131,"doduo, machop, tentacool, dugtrio, butterfree, diglett",,0,,,7.31,2.23,100,0,0,0,jynx,44
19,87788,"exeggcute, golem, zubat, venonat, zubat, bellsprout",,0,,,7.68,3.36,96,1,3,0,cloyster,36
20,82771,"hypno, mr. mime, snorlax, charmander, bulbasaur, wigglytuff",,0,,,23.44,9.21,62,20,18,0,lapras,23
21,81664,"doduo, parasect, clefairy, pidgey, marowak, muk",,0,,,13.57,4.63,100,0,0,0,slowbro,40
22,80783,"raichu, poliwhirl, horsea, tentacool, marowak, weedle",,0,,,10.86,2.92,99,1,0,0,cloyster,27
23,80024,"caterpie, nidoqueen, staryu, vileplume, venomoth, tentacool",,0,,,11.73,5.09,89,6,5,0,jynx,44
24,82310,"cloyster, golem, magikarp, dragonair, aerodactyl, kingler",0.0288184438040345,1,34.7,,17.93,5.8,62,3,34,0,lapras,35
25,83922,"gengar, machop, slowbro, abra, starmie, gastly",2.322635135135135,55,23.68,4.13,16.93,6.45,12,1,27,5,gengar,28
26,83550,"mewtwo, dragonite, snorlax, jigglypuff, voltorb, meowth",,0,,,18.31,6.37,35,15,50,0,gengar,28
27,80445,"growlithe, golem, arcanine, alakazam, shellder, flareon",,0,,,11.28,4.98,91,1,7,1,lapras,51
28,80837,"pidgeot, ditto, zubat, sandshrew, shellder, caterpie",,0,,,12.04,5.54,100,0,0,0,cloyster,88
29,81205,"bellsprout, tentacool, diglett, oddish, hitmonchan, weezing",,0,,,10.07,4.41,81,6,13,0,lapras,31
30,84929,"bulbasaur, victreebel, beedrill, weepinbell, clefable, nidorina",,0,,,14.02,6.75,84,5,11,0,lapras,42
31,84062,"haunter, nidoran-m, oddish, seadra, ivysaur, spearow",0.0776699029126213,2,25.75,4.88,11.31,4.83,67,16,12,3,jynx,30
32,88005,"meowth, parasect, rhyhorn, nidoran-m, tentacool, ditto",,0,,,11.89,4.4,100,0,0,0,slowbro,46
33,85185,"alakazam, golduck, koffing, chansey, oddish, seel",,0,,,14.86,6.08,90,9,1,0,jynx,51
34,89645,"blastoise, nidorina, machamp, ponyta, hitmonchan, persian",,0,,,15.67,5.0,43,5,52,0,gengar,41
35,85622,"arcanine, lapras, kangaskhan, mankey, haunter, doduo",0.6342494714587738,21,33.11,5.37,25.18,5.67,4,2,71,2,gengar,46
36,86090,"pidgey, golem, magikarp, fearow, kakuna, kabuto",,0,,,7.5,2.39,99,1,0,0,slowbro,63
37,86737,"lapras, meowth, charmeleon, poliwag, tentacruel, koffing",,0,,,20.25,6.07,51,21,28,0,slowbro,29
38,83069,"jynx, parasect, kingler, poliwag, krabby, aerodactyl",,0,,,14.44,6.38,72,5,23,0,lapras,43
39,82629,"victreebel, raticate, machop, magneton, mr. mime, arbok",,0,,,12.66,4.43,79,14,7,0,lapras,50
40,87177,"haunter, zapdos, graveler, hitmonlee, psyduck, vulpix",1.3024602026049203,27,20.73,3.23,14.99,3.63,5,1,65,2,gengar,52
41,89583,"dewgong, vaporeon, machoke, goldeen, gengar, weepinbell",0.6040408248281608,29,48.01,7.56,36.0,11.74,20,4,38,9,gengar,28
42,85996,"golbat, slowpoke, ponyta, onix, caterpie, magmar",,0,,,11.29,4.22,97,3,0,0,slowbro,46
43,89224,"tangela, pidgey, raichu, machop, scyther, golduck",,0,,,10.64,3.74,95,3,2,0,slowbro,46
44,85243,"nidoqueen, vulpix, hypno, vulpix, voltorb, gengar",0.5129752564876282,17,33.14,4.63,19.51,7.66,28,4,47,4,gengar2,30
45,81888,"exeggutor, arcanine, electabuzz, kadabra, onix, magnemite",,0,,,12.24,4.9,84,12,4,0,lapras,61
46,84403,"blastoise, sandshrew, machoke, shellder, omanyte, fearow",,0,,,13.14,4.73,77,4,19,0,lapras,57
47,84871,"aerodactyl, rhydon, pikachu, scyther, eevee, ninetales",,0,,,10.02,3.5,93,3,4,0,lapras,39
48,88816,"rattata, doduo, persian, blastoise, dodrio, slowpoke",,0,,,11.74,2.82,96,3,1,0,slowbro,36
49,88464,"seaking, bellsprout, sandslash, parasect, nidorina, caterpie",,0,,,9.27,3.06,96,3,1,0,slowbro,48
50,87964,"hypno, zapdos, magnemite, omastar, drowzee, cloyster",0.1197604790419161,4,33.4,3.49,20.33,6.13,21,10,65,0,gengar,45
51,87516,"nidoqueen, ditto, pinsir, jolteon, psyduck, tentacruel",,0,,,20.78,8.03,42,13,45,0,gengar,34
52,82248,"machamp, tentacruel, magneton, weepinbell, wigglytuff, hitmonchan",,0,,,21.09,7.08,29,6,65,0,gengar,46
53,86883,"rhyhorn, sandshrew, wigglytuff, pinsir, bulbasaur, charmander",,0,,,11.63,5.0,88,4,8,0,slowbro,30
54,83408,"porygon, cubone, staryu, vileplume, persian, pidgeotto",,0,,,11.75,4.16,99,1,0,0,lapras,29
55,86356,"ivysaur, pikachu, seel, krabby, marowak, geodude",,0,,,11.41,5.74,97,1,2,0,cloyster,46
56,86852,"hitmonlee, venusaur, venonat, dodrio, mewtwo, pinsir",,0,,,16.66,5.22,27,3,70,0,gengar,39
57,86420,"marowak, ekans, venusaur, ivysaur, jigglypuff, dewgong",,0,,,14.97,6.34,88,11,1,0,jynx,25
58,86387,"gengar, koffing, weepinbell, magmar, squirtle, victreebel",1.5449438202247192,33,21.36,3.49,17.79,6.22,11,0,33,23,gengar,24
59,87260,"starmie, pinsir, gyarados, nidoqueen, golbat, graveler",0.1381692573402418,4,28.95,4.91,20.21,5.19,23,0,73,0,gengar,48
60,82299,"lickitung, fearow, mewtwo, tentacruel, jolteon, nidoran-m",,0,,,16.4,6.57,61,16,23,0,lapras,47
61,88312,"squirtle, kangaskhan, machamp, butterfree, tentacool, metapod",,0,,,11.67,4.48,89,1,10,0,jynx,51
62,84375,"tentacruel, vileplume, moltres, krabby, paras, venonat",,0,,,14.48,4.61,80,9,11,0,lapras,42
63,81859,"dragonite, poliwag, nidoran-m, fearow, spearow, diglett",,0,,,7.51,2.43,99,1,0,0,cloyster,45
64,85535,"wartortle, ekans, lapras, geodude, golem, omanyte",,0,,,21.64,6.9,30,3,66,1,gengar,40
65,85947,"ditto, electrode, slowpoke, dragonite, gloom, tauros",,0,,,19.21,8.24,80,10,10,0,lapras,57
66,89920,"blastoise, dragonite, arbok, rattata, hitmonchan, dewgong",0.0348432055749128,1,28.7,,20.27,6.03,29,13,56,1,gengar,40
67,89552,"charmander, vulpix, spearow, dragonair, dugtrio, scyther",,0,,,8.25,3.09,97,2,1,0,cloyster,51
68,85292,"electrode, ekans, lickitung, nidorino, nidoqueen, magneton",,0,,,12.4,4.58,83,10,7,0,lapras,41
69,87601,"dragonair, sandshrew, haunter, hitmonlee, articuno, mew",0.5782435851102277,16,27.67,3.33,17.53,6.26,33,2,47,2,gengar,38
70,86041,"nidoqueen, beedrill, bulbasaur, venusaur, rapidash, onix",,0,,,9.67,3.99,87,5,8,0,lapras,46
71,85154,"nidoqueen, raichu, paras, kabuto, rapidash, weezing",,0,,,13.34,5.57,69,11,20,0,lapras,44
72,89133,"spearow, dratini, spearow, snorlax, pidgeot, kabutops",,0,,,23.73,10.18,45,29,26,0,lapras,33
73,89694,"kabutops, poliwrath, mankey, snorlax, ponyta, aerodactyl",,0,,,21.83,6.17,14,8,78,0,gengar,71
74,88773,"vulpix, horsea, slowpoke, ekans, charizard, ponyta",,0,,,11.1,3.46,99,1,0,0,slowbro,50
75,84714,"voltorb, ivysaur, clefairy, dragonair, mankey, graveler",,0,,,10.31,4.48,98,1,1,0,cloyster,35
76,86504,"exeggutor, nidorino, caterpie, rapidash, gastly, haunter",0.3206997084548105,11,34.3,3.77,16.59,8.48,49,0,39,1,gengar,35
77,86976,"parasect, eevee, raichu, tentacool, dodrio, ponyta",,0,,,10.17,3.1,96,3,1,0,lapras,37
78,87891,"seadra, nidoran-m, rhyhorn, graveler, mewtwo, goldeen",,0,,,14.66,4.8,92,2,6,0,lapras,42
79,82868,"growlithe, jigglypuff, snorlax, vulpix, drowzee, staryu",,0,,,21.95,9.06,61,35,4,0,lapras,25
80,87344,"hypno, rhydon, hitmonchan, victreebel, weepinbell, nidoking",,0,,,14.84,6.41,57,8,35,0,lapras,44
81,88591,"magneton, aerodactyl, seaking, magneton, ditto, ekans",0.03584229390681,1,27.9,,18.14,5.8,30,20,48,1,gengar,23
82,84984,"flareon, seel, tangela, nidoran-m, snorlax, gloom",,0,,,24.96,9.65,56,30,14,0,lapras,30
83,88236,"machoke, aerodactyl, geodude, bellsprout, spearow, ninetales",,0,,,7.85,2.66,94,2,4,0,draw,52
84,84251,"hypno, machamp, persian, diglett, arbok, butterfree",,0,,,10.92,3.46,91,7,2,0,jynx,49
85,85863,"squirtle, cloyster, krabby, haunter, koffing, tauros",0.3231017770597738,10,30.95,2.32,18.16,6.61,57,2,27,4,lapras,44
86,85411,"tentacruel, grimer, lickitung, nidoran-m, gastly, jolteon",,0,,,16.42,6.29,79,8,13,0,lapras,40
87,89476,"venusaur, metapod, weedle, dugtrio, starmie, rhydon",,0,,,11.38,4.51,93,2,5,0,slowbro,37
88,89804,"nidoking, mankey, hypno, rhydon, graveler, paras",,0,,,10.66,4.88,84,2,14,0,lapras,56
89,87082,"charmeleon, doduo, poliwag, victreebel, parasect, golbat",,0,,,11.59,4.25,91,9,0,0,slowbro,26
90,87725,"mew, exeggcute, nidoran-m, diglett, bellsprout, starmie",,0,,,16.33,6.16,97,2,1,0,slowbro,33
91,86165,"tauros, seadra, bulbasaur, bellsprout, tentacruel, meowth",,0,,,13.01,4.56,99,1,0,0,slowbro,28
92,80089,"horsea, ivysaur, mr. mime, ekans, magnemite, squirtle",,0,,,11.37,3.36,100,0,0,0,slowbro,36
93,85070,"vileplume, flareon, exeggutor, butterfree, starmie, sandshrew",0.0268096514745308,1,37.3,,15.91,6.16,53,12,34,0,lapras,43
94,89017,"primeape, venomoth, hitmonchan, golem, golduck, exeggcute",0.1162790697674418,3,25.8,2.96,15.81,5.44,38,1,58,0,gengar,33
95,84197,"omastar, charmander, mew, gastly, mew, tauros",0.0516129032258064,2,38.75,4.45,25.51,7.01,21,12,65,0,gengar,44
96,88657,"blastoise, muk, kabuto, chansey, ninetales, jigglypuff",,0,,,16.12,5.09,89,7,4,0,lapras,74
97,84630,"ivysaur, nidoran-m, parasect, meowth, gyarados, diglett",,0,,,11.24,5.03,81,4,15,0,lapras,42
98,84146,"primeape, exeggcute, farfetch'd, poliwrath, nidorina, seaking",,0,,,15.68,5.98,47,9,44,0,gengar,37
99,81618,"mew, rattata, pidgey, pidgeotto, slowbro, gyarados",0.0136798905608755,1,73.1,,33.86,11.23,50,10,39,0,lapras,39
100,88121,"charmander, kakuna, paras, horsea, gloom, fearow",,0,,,9.4,3.42,98,2,0,0,cloyster,41
101,88686,"rapidash, golem, psyduck, ekans, dodrio, abra",,0,,,8.06,2.34,96,2,2,0,draw,55
102,89761,"pidgey, seaking, primeape, vaporeon, machamp, kabutops",,0,,,20.93,6.95,43,6,51,0,lapras,39
103,80058,"onix, porygon, horsea, chansey, arbok, grimer",,0,,,14.33,6.23,100,0,0,0,cloyster,52
104,85706,"goldeen, dratini, eevee, metapod, tentacruel, venonat",,0,,,10.52,3.0,99,1,0,0,slowbro,48
105,86613,"ditto, blastoise, tauros, staryu, dewgong, zapdos",0.060938452163315,3,49.23,7.28,32.84,8.74,15,4,75,3,gengar,56
106,87053,"doduo, abra, primeape, machamp, scyther, vulpix",,0,,,10.98,4.41,67,11,22,0,lapras,28
107,89300,"weezing, dragonite, kadabra, poliwhirl, snorlax, raichu",,0,,,24.5,8.15,32,18,50,0,gengar,25
108,85367,"tentacool, fearow, mankey, venusaur, bulbasaur, victreebel",,0,,,10.77,3.92,88,9,3,0,jynx,33
109,80439,"magnemite, meowth, pidgey, psyduck, gloom, tentacool",,0,,,9.51,2.81,96,4,0,0,jynx,49
110,81279,"butterfree, golem, goldeen, charizard, ekans, grimer",,0,,,9.73,3.33,94,3,3,0,slowbro,31
111,84955,"golem, porygon, doduo, fearow, wartortle, sandshrew",,0,,,10.05,4.22,88,5,6,1,lapras,39
112,84527,"kingler, cloyster, bellsprout, clefable, kingler, dragonair",,0,,,20.41,6.95,47,9,44,0,lapras,36
113,88540,"rhyhorn, vileplume, goldeen, slowbro, wartortle, farfetch'd",,0,,,19.49,6.02,53,7,40,0,gengar,31
114,88932,"exeggutor, ponyta, zubat, wigglytuff, nidoran-m, slowpoke",,0,,,12.06,3.67,97,3,0,0,slowbro,50
115,84280,"pidgeot, sandshrew, caterpie, shellder, poliwrath, nidorino",,0,,,13.26,4.88,93,4,3,0,slowbro,48
116,87432,"butterfree, flareon, machoke, kingler, farfetch'd, lapras",,0,,,18.4,6.5,44,16,39,1,jynx,22
117,87840,"squirtle, nidoran-f, muk, electrode, dewgong, electrode",,0,,,23.5,9.43,68,8,24,0,lapras,39
118,87395,"persian, mew, seadra, magnemite, charmeleon, krabby",,0,,,16.94,6.4,95,3,2,0,lapras,52
119,86272,"magmar, sandshrew, pikachu, gastly, marowak, starmie",,0,,,13.76,5.9,70,12,18,0,lapras,50
120,83015,"mankey, dewgong, horsea, drowzee, parasect, arcanine",,0,,,17.73,6.77,93,6,1,0,draw,46
121,82655,"voltorb, dugtrio, kabuto, tentacool, meowth, fearow",,0,,,9.01,2.61,99,0,1,0,slowbro,50
122,81740,"magmar, tentacruel, metapod, haunter, nidoran-m, venusaur",0.272975432211101,9,32.97,4.23,19.58,7.63,34,10,37,10,gengar,24
123,88079,"dratini, gyarados, krabby, chansey, meowth, arbok",,0,,,13.43,6.38,78,10,12,0,lapras,45
124,89639,"exeggcute, meowth, graveler, jynx, jynx, geodude",,0,,,11.59,6.03,75,6,19,0,lapras,35
125,80100,"eevee, onix, bulbasaur, vulpix, meowth, haunter",,0,,,11.08,5.41,86,2,12,0,lapras,40
126,87918,"jolteon, parasect, tentacruel, nidoking, rapidash, chansey",,0,,,16.13,7.77,79,8,13,0,lapras,36
127,82234,"lickitung, golbat, raichu, raticate, ekans, drowzee",,0,,,11.2,2.2,100,0,0,0,jynx,41
128,82593,"muk, scyther, muk, growlithe, pinsir, lickitung",,0,,,23.01,7.78,57,14,29,0,lapras,37
129,83474,"beedrill, wigglytuff, butterfree, nidoran-m, horsea, vileplume",,0,,,12.35,4.64,95,2,3,0,jynx,47
130,83806,"golem, ninetales, arbok, gastly, ninetales, rhyhorn",,0,,,11.44,5.99,79,2,19,0,lapras,75
131,89258,"koffing, staryu, hypno, exeggcute, weezing, magikarp",,0,,,13.44,4.61,92,4,4,0,lapras,46
132,80913,"koffing, butterfree, sandslash, articuno, staryu, grimer",0.0269541778975741,1,37.1,,13.95,6.66,78,0,21,0,lapras,41
133,80561,"ekans, graveler, alakazam, jigglypuff, nidoran-m, kabuto",,0,,,8.66,2.29,100,0,0,0,slowbro,56
134,85598,"paras, pidgeotto, lickitung, weezing, magneton, persian",,0,,,13.94,5.04,93,4,3,0,lapras,56
135,81321,"nidoran-m, cubone, gloom, electrode, poliwrath, squirtle",,0,,,14.74,5.47,55,17,28,0,gengar,26
136,88418,"onix, kabutops, jigglypuff, golduck, raticate, butterfree",,0,,,13.35,3.78,82,12,6,0,draw,30
137,81486,"poliwag, magnemite, hitmonlee, rattata, magnemite, metapod",,0,,,10.63,2.77,98,1,1,0,jynx,45
138,84309,"weepinbell, krabby, dodrio, voltorb, kabutops, tauros",,0,,,12.62,4.65,70,9,21,0,lapras,45
139,81825,"magneton, hitmonlee, moltres, shellder, gengar, hypno",1.0165184243964422,32,31.48,3.57,23.5,6.23,12,1,47,8,gengar,32
140,81457,"gloom, kingler, kadabra, farfetch'd, bellsprout, starmie",,0,,,11.74,3.5,86,5,9,0,lapras,46
141,89289,"muk, wigglytuff, wigglytuff, exeggutor, muk, raticate",,0,,,26.01,10.58,72,8,20,0,lapras,35
142,80217,"staryu, zubat, chansey, meowth, doduo, dragonair",,0,,,12.84,5.83,100,0,0,0,cloyster,67
143,85549,"seadra, muk, doduo, cloyster, poliwrath, golbat",,0,,,25.04,8.41,69,1,28,2,lapras,35
144,83302,"drowzee, magneton, paras, bulbasaur, goldeen, grimer",,0,,,11.77,3.69,90,9,1,0,lapras,47
